date,Abuse Level,Tweet Content,Interest
2019-01-30,1 ,"@cloudywaterfall 트젠꿘 분들이 왜 자꾸 저한테 존재를 강조하시는지 모르겠는데 저는 트젠이 존재하지 않는다고 한 적 없습니다. 그들은 존재하죠, 생물학적 남성 또는 여성으로요. 또한 본인들이 주장하시는 젠더학을 반박하기 위해 트랜스젠더는 있어도 트랜스레이스는 없다는 주장이 나오고 있는 것 알고 계시나요?",0
2019-02-01,1 ,"@ThinkAndRead_fm 맞아요, 트랜스젠더 crime만 쳐도 나오는게 교도소 얘기인데. 피해자 기만도 적당히 해야지. 누굴 보고 혐오자라고 하는 건지 알 수가 없어요. 자기가 트젠에게 범죄를 당해도 젠더권을 외칠 거라던 트젠꿘도 있던데, 피해자가 당장 제 눈 앞에 안보인다고 맘편한 소리 하는 거죠.",0
2019-02-26,1 ,"https://t.co/BWE3hAonvj 트젠이 여혐하고 있으니까 트젠을 배척하는거지 ㅋㅋ 트젠이 여성더러 공짜보지 부럽다 보짓값 1500 거리는건 사회 저항이고 래디컬이 트랜스ㅇㅇ젠더라고 하는건 트젠 조롱이야? 어느쪽이 더 질 나쁜지는 최소한의 윤리의식이 있다면 알 수 있음ㅋㅋ",34
2019-03-12,1 ,@wiki_justice_5 저는 트젠이 성소수자라 생각하지 않습니다 LGBT에서 T를 빼야한다는 입장이구요. 가부장제를 사라지게하려면 애초에 부정할 필요없는 자기 성을 부정하는 트젠이 그 전에 해체돼야죠. 내가 무슨 성이든간에 혈액형따위 만큼의 취급을 하는 사회를 원하시는게 아닌가요? 바꿀필요 없는데 뭐하러 B형을,4
2019-04-02,1 ,@Nyangnyam37 강자에게 화내기 무섭다고요? 약자한테 화낸다고요? 불용시위가서 국회의원들에게 낙태죄 폐지 보낸건 여자가 국회의원보다 강자여서 그랬을까요? 지금도 트젠들이 여성 강간하는데 트젠이 여성보다 약자라고요? 지금 님은 트위터 속의 피씨한 나에게 너무 취해있는것 같아요 똥꼬충들 여혐충들 쉴드,1
2019-04-07,1 ,"한남들과 쓰까(게이, 트젠)들의 포주짓 굉장히 역겹다. 특히 4B 운동(비혼 비출산 비연애 비섹스)을 성적생산, 성노동 이라는 굉장히 그럴듯한 단어로 대한민국의 불법 성매매산업을 옹호하는 짓거리는 아주아주 역겹다. 이 계정을 팔로우하는 공식계정에 트젠옹호자가 있는것도 웃기다. https://t.co/tpp1lelQee",1
2019-04-08,1 ,남자랑 여자는 어차피 꼬추랑 짬지 차이밖애 업잔음 ㅋ ㅋ 정액 알레르기랑 꼬추 보기가 너무 역겨우면 트젠 ㅇㅈ해줌,0
2019-04-09,1 ,트젠 사회가 여성을 강간하는 트젠에 대해 침묵하니깐 피해자가 계속 생기는거 아냐. 그런데도 terf 욕하고 지들이 엄청 피해자인 척 구는거 역겨움.,0
2019-04-10,1 ,"@T_ina123 트젠: 사회가 규정해 놓은 여성성을 고착화하고 재생산함.여돌:여성의 성적대상화가 자연스럽게 이뤄지고  대중들 특히 여성들에게 나쁜 영향을 줌. 기혼 및 출산여성:스스로 가부장제도(남성체제)에 들어가서 남성중심의 부계혈통을 존속시켜주는 역할을 함",51
2019-06-19,1 ,"인스타,트위터할 때 존예인데 남성같이 느껴지는 쎄함 남자일까? 트젠,여상이 하도 많아서 친추걸기 무섭다 내 취향 아님 난 그런 애들 더럽게 봄 하나만 하자고 여자면 여자 남자면 남자",0
2019-07-15,1 ,"당하고, 트랜스젠더를 돕다가 트젠의 한남 때문에 배신당함. 다 배신당함. 이제와서 친구니 뭐니 들먹이지마세요. 여성에게 누구 친구니 뭐니 역겨움. 노예가 어떻게 다른 계급이랑 친구먹는지.",0
2019-10-20,1 ,어제도 올렸지만 여성전용 가지고 여성 욕하는 거 너무 역겹다. 당장 온라인만 봐도 그래 고대남이 여대 관음하려고 난리라고. 다 족쳐버리고 싶다는 거 대상도 여성이잖아. 트젠 다 족쳐버리고 싶다하면 탐라가 조용할까? 정신이 여성이라면서 다른 여성의 안전은 알 바도 아니라는 그남 잘봤습니다 https://t.co/j9CtP9cF68,47
2019-12-30,1 ,"@blemeep2 @ruecos_ 진짜로 여성인권에 관심이 있으면. 
트젠안껴주냐고 여성공격하며 빼액댈 시간에
그냥 조용히 그 시위갔겠지 여자라고 생각하신대니까 ㅋㅋㅋㅋㅋㅋ근데 아니잖아?그냥 좀 여자가 하는일에 끼어들어서 방해나 하지마. 방해나 하는 주제에 누구더러 여혐러래? 트젠 자체가 여혐인데",4
2020-01-05,1 ,트젠이 우스꽝스럽게 코르셋 체화하는거 여성혐오라고 하니까 여자가 코르셋입는건 그럼 왜 욕 안하냐고해서 여혐은 맞지만 여성에게 강요되니까 피해자성이 있기때문에 맥락이 좀 다르다했었는데 끝까지 우김 기분 더러웠었음. 근데 오늘 갑자기 머라 기가막힌 대답이 생각남.,3
2020-01-08,1 ,"여성의 성기는 앞구멍, 트젠의 성기는 질이라 하는 꼬라지도 역겹지만
고추는 누구나 가질 수 있는 보편적인 기관처럼 묘사한 것도 진짜 징글징글하다. 인간의 기본적인 성기를 고추로 선언한 거 아니냐고. 젠더퀴어들은 지독할 정도로 고추중심적이라니까 https://t.co/JyNYLeuT5z",2
